OBJECTID,KC_FAC_FID,KCPARKFID,SITENAME,SITETYPE,OWNER,OWNERTYPE,MANAGER,MANAGETYPE,MAINTD_BY,MAINTTYPE,SHAPE_Length,SHAPE_Area
1341,2784,8232001,Rattlesnake Mountain Scenic Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,71448.685418181,85857204.9767098
1342,15354,4222502,Riverview Park - Kent,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,8309.75574522865,699095.483428667
1343,7848,4252806,Seven Hills Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,528.511270126581,17330.1861995844
1344,2527,4232702,Crestview Park - Tukwila,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,3573.42032330386,473689.350980115
1345,15312,4221304,Commons Neighborhood Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1726.00427944123,128597.199824327
1346,2385,5212201,Neely Bridge Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,10657.2756462571,2890016.61512327
1347,8229,4261005,Lyon Creek Waterfront Preserve,Park Site,City of Lake Forest Park,City,City of Lake Forest Park,City,City of Lake Forest Park,City,1411.28075815602,60526.7357092919
1348,7579,4241802,Terminal 105 Park,Park Site,Port of Seattle,Other Government,Port of Seattle,Other Government,Port of Seattle,Other Government,2434.33909795546,128088.711604235
1349,7077,4243505,Chinook Beach Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1878.69352230391,108019.255342958
1350,5313,4220807,Overlook Park I,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,293.556213016805,3634.02334247498
1351,2983,9230201,Middle Fork Snoqualmie Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,65700.3080532491,28378325.2283345
1352,2737,6202403,Veterans Memorial Park - Enumclaw,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,1300.93264951099,78891.3469593873
1353,7235,4252708,Lambert Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,180.342811945772,1392.79741112319
1354,7852,3242605,Morgan Junction Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,376.107412369028,8197.70468854366
1355,5079,7242601,Snoqualmie Community Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,4240.61638438392,830598.356788792
1356,2589,5251203,Anderson Park - Redmond,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,1503.89922489641,131393.565554109
1357,5028,5242404,Lakemont - Lakemont Trail,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,19329.8570682353,479478.878242144
1358,7058,3241503,Cormorant Cove,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1642.70123787002,85672.1199655345
1359,2681,6241801,Timberlake Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,6082.05417296294,1044832.33226928
1360,2463,2221201,Paradise Ridge Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,7189.8539974228,1891025.708124
1361,2309,4260401,Ballinger Open Space,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,1632.68915929614,113558.997897225
1362,2301,4260101,Wallace Swamp Creek Park,Park Site,City of Kenmore,City,City of Kenmore,City,City of Kenmore,City,7062.11289755821,1112667.09577749
1363,5042,5242308,Silverleaf Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3050.37344848475,86472.9864798652
1364,2452,3211301,Olympic View Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,10747.0469372859,920207.076990434
1365,2520,4240402,Judkins Park and Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,8401.76017696167,888181.215697152
1366,2706,5262001,Windsor Vista Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,4463.27448955107,210542.897862676
1367,6960,4240405,Benvenuto Viewpoint,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3829.92416876438,72643.0375886793
1368,7302,5223402,Service Club Community Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,4888.28051416989,1259944.41601856
1369,2546,4221001,Van Dorens Landing Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,2763.418901789,402973.537611413
1370,6916,4223301,Heritage Woods Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,3015.45094611534,179206.454935982
1371,7796,7241301,Tokul Creek Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,19637.1557917805,6904619.1361235
1372,2405,3263502,North Beach Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,5690.38768016693,358778.927876522
1373,5070,8230906,Gardiner Weeks Memorial Park,Park Site,City of North Bend,City,City of North Bend,City,City of North Bend,City,1830.21644204957,162588.650010172
1374,2278,4250401,Dahl Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3249.07079215301,630003.429837484
1375,7075,4243403,Benefit Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2320.12145436871,96005.7012523049
1376,7117,4251503,Laurelhurst Triangle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,111.120434651501,913.197861081237
1377,2688,6240901,Pine Lake Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,4171.44918715902,826999.194342456
1378,2623,5242801,Hazelwood Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,3820.61480237572,340215.991038512
