"County Name","Years","Census Tract","Smoke Days"
"Clark","AllYears","53011041009","6.57"
"Clark","AllYears","53011041010","6.71"
"Clark","AllYears","53011041011","6.71"
"Clark","AllYears","53011041104","6.71"
"Clark","AllYears","53011041105","6.71"
"Clark","AllYears","53011041107","6.71"
"Clark","AllYears","53011041108","6.71"
"Clark","AllYears","53011041110","6.71"
"Clark","AllYears","53011041111","6.71"
"Clark","AllYears","53011041112","6.71"
"Clark","AllYears","53011041201","6.86"
"Clark","AllYears","53011041203","6.71"
"Clark","AllYears","53011041205","6.86"
"Clark","AllYears","53011041206","6.86"
"Clark","AllYears","53011041309","7"
"Clark","AllYears","53011041310","7"
"Clark","AllYears","53011041312","6.71"
"Clark","AllYears","53011041313","6.71"
"Clark","AllYears","53011041317","6.86"
"Clark","AllYears","53011041318","6.86"
"Clark","AllYears","53011041319","7"
"Clark","AllYears","53011041320","7"
"Clark","AllYears","53011041321","7"
"Clark","AllYears","53011041322","7"
"Clark","AllYears","53011041323","7"
"Clark","AllYears","53011041325","7"
"Clark","AllYears","53011041326","6.71"
"Clark","AllYears","53011041327","6.86"
"Clark","AllYears","53011041328","7"
"Clark","AllYears","53011041329","7"
"Clark","AllYears","53011041330","6.71"
"Clark","AllYears","53011041331","6.71"
"Clark","AllYears","53011041332","6.71"
"Clark","AllYears","53011041333","6.71"
"Clark","AllYears","53011041400","7"
"Clark","AllYears","53011041500","7"
"Clark","AllYears","53011041600","6.86"
"Clark","AllYears","53011041700","6.86"
"Clark","AllYears","53011041800","6.71"
"Clark","AllYears","53011041900","6.71"
"Clark","AllYears","53011042000","6.71"
"Clark","AllYears","53011042100","6.71"
"Clark","AllYears","53011042300","6.86"
"Clark","AllYears","53011042400","6.86"
"Clark","AllYears","53011042500","6.86"
"Clark","AllYears","53011042600","6.86"
"Clark","AllYears","53011042700","6.86"
"Clark","AllYears","53011042800","6.86"
"Clark","AllYears","53011042900","6.86"
"Clark","AllYears","53011043000","6.86"
"Clark","AllYears","53011043100","6.86"
"Columbia","AllYears","53013960200","12.71"
"Cowlitz","AllYears","53015000300","6.43"
"Cowlitz","AllYears","53015000400","6.43"
"Cowlitz","AllYears","53015000501","6.43"
"Cowlitz","AllYears","53015000502","6.43"
"Cowlitz","AllYears","53015000601","6.43"
"Cowlitz","AllYears","53015000602","6.57"
"Cowlitz","AllYears","53015000702","6.29"
"Cowlitz","AllYears","53015000703","6.29"
"Cowlitz","AllYears","53015000704","6.29"
"Cowlitz","AllYears","53015000800","6.43"
"Cowlitz","AllYears","53015000900","6.57"
"Cowlitz","AllYears","53015001000","6.43"
"Cowlitz","AllYears","53015001100","6.43"
"Cowlitz","AllYears","53015001200","6.43"
"Cowlitz","AllYears","53015001300","6.43"
"Cowlitz","AllYears","53015001501","6.57"
"Cowlitz","AllYears","53015001502","6.57"
"Cowlitz","AllYears","53015001600","6.71"
"Cowlitz","AllYears","53015001700","6.43"
"Cowlitz","AllYears","53015001800","6.29"
"Cowlitz","AllYears","53015001900","6.14"
"Cowlitz","AllYears","53015002001","6"
"Cowlitz","AllYears","53015002002","6.57"
"Cowlitz","AllYears","53015002100","6.43"
"Douglas","AllYears","53017950100","15.43"
"Douglas","AllYears","53017950200","14.57"
"Douglas","AllYears","53017950300","12.71"
"Douglas","AllYears","53017950400","12.71"
"Douglas","AllYears","53017950500","12.71"
"Douglas","AllYears","53017950600","12.57"
"Douglas","AllYears","53017950700","12.71"
"Douglas","AllYears","53017950800","12.71"
"Ferry","AllYears","53019940000","13.86"
"Ferry","AllYears","53019970100","13.14"
"Ferry","AllYears","53019970200","13.43"
"Franklin","AllYears","53021020100","12.43"
"Franklin","AllYears","53021020200","12.57"
"Franklin","AllYears","53021020300","12.43"
"Franklin","AllYears","53021020400","12.43"
"Franklin","AllYears","53021020501","12.29"
"Franklin","AllYears","53021020502","12.29"
"Franklin","AllYears","53021020601","12.57"
"Franklin","AllYears","53021020603","12.29"
"Franklin","AllYears","53021020605","12.29"
"Franklin","AllYears","53021020606","12.14"
"Franklin","AllYears","53021020700","13"
"Franklin","AllYears","53021020800","12.57"
"Franklin","AllYears","53021980100","12.43"
"Garfield","AllYears","53023970300","12.71"
"Grant","AllYears","53025010100","13.57"
"Grant","AllYears","53025010200","13.14"
"Grant","AllYears","53025010300","13.14"
"Grant","AllYears","53025010400","13.43"
"Grant","AllYears","53025010500","13.43"
"Grant","AllYears","53025010600","13.57"
"Grant","AllYears","53025010700","13"
"Grant","AllYears","53025010800","12.86"
"Grant","AllYears","53025010901","13"
"Grant","AllYears","53025010902","13"
"Grant","AllYears","53025011000","13.29"
"Grant","AllYears","53025011100","13"
"Grant","AllYears","53025011200","13.43"
"Grant","AllYears","53025011300","12.57"
"Grant","AllYears","53025011401","13.14"
"Grant","AllYears","53025011402","13.43"
"Grays Harbor","AllYears","53027000200","4.57"
"Grays Harbor","AllYears","53027000300","4.57"
"Grays Harbor","AllYears","53027000400","4.86"
"Grays Harbor","AllYears","53027000500","5.43"
"Grays Harbor","AllYears","53027000600","5.71"
"Grays Harbor","AllYears","53027000700","5.57"
"Grays Harbor","AllYears","53027000800","4.43"
"Grays Harbor","AllYears","53027000900","4.43"
"Grays Harbor","AllYears","53027001000","4.71"
"Grays Harbor","AllYears","53027001100","4.71"
"Grays Harbor","AllYears","53027001200","4.71"
"Grays Harbor","AllYears","53027001300","4.71"
"Grays Harbor","AllYears","53027001400","4.71"
"Grays Harbor","AllYears","53027001500","4.57"
"Grays Harbor","AllYears","53027001600","4.43"
"Grays Harbor","AllYears","53027940000","4"
"Grays Harbor","AllYears","53027990000","4.29"
"Island","AllYears","53029970100","6.14"
"Island","AllYears","53029970200","6.14"
"Island","AllYears","53029970300","6.14"
"Island","AllYears","53029970400","6.14"
"Island","AllYears","53029970500","6.14"
"Island","AllYears","53029970601","6.14"
"Island","AllYears","53029970602","6.14"
"Island","AllYears","53029970700","6.14"
"Island","AllYears","53029970800","6.14"
"Island","AllYears","53029970900","6.29"
"Island","AllYears","53029971000","5.57"
"Island","AllYears","53029971100","5.57"
"Island","AllYears","53029971300","5.71"
"Island","AllYears","53029971400","6"
"Island","AllYears","53029971500","6.14"
"Island","AllYears","53029971600","6.14"
"Island","AllYears","53029971700","6.29"
"Island","AllYears","53029971800","5.86"
"Island","AllYears","53029971900","6.29"
"Island","AllYears","53029972000","6.29"
"Island","AllYears","53029972100","6.29"
"Island","AllYears","53029992201","6"
"Jefferson","AllYears","53031950202","6"
"Jefferson","AllYears","53031950300","5.71"
"Jefferson","AllYears","53031950400","5.29"
"Jefferson","AllYears","53031950500","5.57"
"Jefferson","AllYears","53031950601","5.57"
"Jefferson","AllYears","53031950602","5.57"
"Jefferson","AllYears","53031950702","3.86"
"Jefferson","AllYears","53031990000","3.86"
"King","AllYears","53033000100","6.29"
"King","AllYears","53033000200","6.14"
"King","AllYears","53033000300","6.14"
"King","AllYears","53033000401","6.14"
"King","AllYears","53033000402","6.14"
"King","AllYears","53033000500","6.14"
"King","AllYears","53033000600","6.14"
"King","AllYears","53033000700","6.14"
"King","AllYears","53033000800","6.14"
"King","AllYears","53033000900","6.29"
"King","AllYears","53033001000","6.14"
"King","AllYears","53033001100","6.14"
"King","AllYears","53033001200","6.14"
"King","AllYears","53033001300","6.14"
"King","AllYears","53033001400","6.14"
"King","AllYears","53033001500","6"
"King","AllYears","53033001600","6.14"
"King","AllYears","53033001701","6.14"
